Name,Name MM,Short Name MM,Short Name
Pyinmana,ပျဉ်းမနား,ပမန,pamana
Zabuthiri,ဇမ္ဗူသီရိ,ဇဗသ,zabatha
Zeyarthiri,ဇေယျာသီရိ,ဇယသ,zayatha
Pobbathiri,ပုဗ္ဗသီရိ,ပဗသ,pabatha
Lewe,လယ်ဝေး,လဝန,lawana
Dekkhinathiri,ဒက္ခိဏသီရိ,ဒခသ,dakhatha
Ottarathiri,ဥတ္တရသီရိ,ဥတသ,utatha
Tatkon,တပ်ကုန်း,တကန,takana
