Name,Name MM,Short Name MM,Short Name
Hakha,ဟားခါး,ဟခန,hakhana
Htantlang,ထန်တလန်,ထတလ,htatala
Tedim,တီးတိန်,တတန,tatana
Tonzang,တွန်းဇံ,တဇန,tazana
Cikha,ကျီခါး,ကခန,kakhana
Paletwa,ပလက်ဝ,ပလဝ,palawa
Samee,ဆမီး,ဆမန,hsamana
Falam,ဖလမ်း,ဖလန,phalana
Rikhawdar,ရိခေါဒါရ်,ရခဒ,rakhada
Matupi,မတူပီ,မတပ,matapa
Rezua,ရေဇွာ,ရဇန,razana
Mindat,မင်းတပ်,မတန,matana
Kanpetlet,ကန်ပက်လက်,ကပလ,kapala
