NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,5,SGG037,Homalin,ဟုမ္မလင်း,ဟမလ,hamala,0,,"('5',N'SGG037',N'Homalin',N'ဟုမ္မလင်း',N'ဟမလ',N'hamala',0),",,,
,5,SGG038,Phaungpyin,မို၀ိုင်းလွတ်,မပလ,mapala,0,,"('5',N'SGG038',N'Phaungpyin',N'မို၀ိုင်းလွတ်',N'မပလ',N'mapala',0),",,,
,5,SGG039,Leshi,လေရှီး,လရန,larana,0,,"('5',N'SGG039',N'Leshi',N'လေရှီး',N'လရန',N'larana',0),",,,
,5,SGG040,Somra,ဆွမ္မရာ,ဆမရ,hsamara,0,,"('5',N'SGG040',N'Somra',N'ဆွမ္မရာ',N'ဆမရ',N'hsamara',0),",,,
,5,SGG041,Lahe,လဟယ်,လဟန,lahana,0,,"('5',N'SGG041',N'Lahe',N'လဟယ်',N'လဟန',N'lahana',0),",,,
,5,SGG042,Htanparkway,ထန်ပါခွေ,ထပခ,htapakha,0,,"('5',N'SGG042',N'Htanparkway',N'ထန်ပါခွေ',N'ထပခ',N'htapakha',0),",,,
,5,SGG043,Nanyun,နန်းယွန်း,နယန,nayana,0,,"('5',N'SGG043',N'Nanyun',N'နန်းယွန်း',N'နယန',N'nayana',0),",,,
,5,SGG044,Pansaung,ပန်ဆောင်,ပဆန,pahsana,0,,"('5',N'SGG044',N'Pansaung',N'ပန်ဆောင်',N'ပဆန',N'pahsana',0),",,,
,5,SGG045,Donhee,ဒုံဟီး,ဒဟန,dahana,0,,"('5',N'SGG045',N'Donhee',N'ဒုံဟီး',N'ဒဟန',N'dahana',0),",,,
,5,SGG046,Ngazun,ငါန်းဇွန်,ငဇန,ngazana,0,,"('5',N'SGG046',N'Ngazun',N'ငါန်းဇွန်',N'ငဇန',N'ngazana',0),",,,
